Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking
2016,Hawaii,67.6,0,414.168,0.211,0.013,0.102,0.376,0.202,8.4,17.65,0.12,0.64,0.24,1.0
2017,Hawaii,65.9,0,414.341,0.207,0.01,0.102,0.382,0.203,10.0,17.558333333333334,0.12,0.64,0.24,1.0
2018,Hawaii,64.2,0,414.514,0.206,0.015,0.105,0.379,0.199,8.9,17.46666666666667,0.12,0.64,0.24,1.0
2019,Hawaii,63.9,0,414.687,0.204,0.012,0.103,0.394,0.184,9.1,17.375,0.12,0.64,0.24,1.0
2020,Hawaii,61.1,1,414.86,0.2,0.0125,0.106,0.3845,0.1965,9.85,17.283333333333335,0.12,0.64,0.24,1.0
2021,Hawaii,59.2,0,415.033,0.196,0.013,0.109,0.375,0.209,10.6,17.191666666666666,0.12,0.64,0.24,1.0
2022,Hawaii,59.3,0,415.206,0.195,0.011,0.108,0.359,0.232,10.1,17.1,0.12,0.64,0.24,1.0
2014,Idaho,72.7,0,517.7919999999999,0.829,0.01,0.121,0.014,0.021,14.7,5.666666666666667,0.0559999999999999,0.6970000000000001,0.247,0.1842105263157895
2015,Idaho,71.8,0,519.3899999999999,0.828,0.01,0.119,0.011,0.024,13.9,5.708333333333333,0.0559999999999999,0.6970000000000001,0.247,0.1842105263157895
2016,Idaho,69.8,0,520.9879999999998,0.825,0.01,0.123,0.014,0.02,14.2,5.75,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895
2017,Idaho,67.4,0,522.5859999999998,0.821,0.01,0.124,0.013,0.025,13.0,5.791666666666667,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895
2018,Idaho,63.4,0,524.1839999999997,0.819,0.005,0.127,0.016,0.022,11.8,5.833333333333333,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895
2019,Idaho,64.0,0,525.7819999999997,0.816,0.007,0.129,0.012,0.026,10.9,5.875,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895
2020,Idaho,60.9,1,527.38,0.802,0.007,0.131,0.013,0.0385,10.95,5.916666666666667,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895
2021,Idaho,60.7,0,528.9779999999996,0.788,0.007,0.133,0.014,0.051,11.0,5.958333333333333,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895
2022,Idaho,58.4,0,530.5759999999996,0.793,0.005,0.135,0.013,0.043,10.1,6.0,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895
2014,Illinois,61.1,0,535.0280000000002,0.623,0.138,0.168,0.051,0.017,14.2,13.933333333333334,0.143,0.734,0.123,0.8157894736842105
2015,Illinois,61.3,0,530.5450000000001,0.619,0.139,0.17,0.052,0.019,13.5,13.991666666666667,0.143,0.734,0.123,0.8157894736842105
2016,Illinois,60.6,0,526.0619999999999,0.618,0.137,0.171,0.053,0.019,12.8,14.05,0.163,0.745,0.092,0.8157894736842105
2017,Illinois,59.0,0,521.5789999999997,0.613,0.137,0.174,0.054,0.021,12.5,14.108333333333333,0.163,0.745,0.092,0.8157894736842105
2018,Illinois,57.5,0,517.0959999999995,0.61,0.136,0.175,0.056,0.022,11.8,14.166666666666666,0.163,0.745,0.092,0.8157894736842105
2019,Illinois,56.1,0,512.6129999999994,0.609,0.136,0.176,0.056,0.022,11.2,14.225,0.163,0.745,0.092,0.8157894736842105
2020,Illinois,53.8,1,508.13,0.5994999999999999,0.134,0.1785,0.0565,0.0305,11.5,14.283333333333331,0.163,0.745,0.092,0.8157894736842105
2021,Illinois,53.0,0,503.646999999999,0.59,0.132,0.181,0.057,0.039,11.8,14.341666666666669,0.163,0.745,0.092,0.8157894736842105
2022,Illinois,51.8,0,499.1640000000006,0.585,0.13,0.184,0.06,0.04,11.8,14.4,0.163,0.745,0.092,0.8157894736842105
2014,Indiana,64.9,0,434.52800000000025,0.805,0.091,0.065,0.019,0.019,15.3,5.1,0.108,0.717,0.175,0.3684210526315789
2015,Indiana,64.8,0,432.34000000000015,0.801,0.09,0.066,0.02,0.02,14.9,5.225,0.108,0.717,0.175,0.3684210526315789
2016,Indiana,64.3,0,430.152,0.798,0.091,0.068,0.021,0.021,13.9,5.35,0.11,0.706,0.184,0.3684210526315789
2017,Indiana,63.4,0,427.9640000000009,0.794,0.091,0.07,0.021,0.024,13.4,5.475,0.11,0.706,0.184,0.3684210526315789
2018,Indiana,62.8,0,425.7760000000007,0.79,0.093,0.071,0.023,0.022,13.0,5.6,0.11,0.706,0.184,0.3684210526315789
2019,Indiana,61.7,0,423.58800000000065,0.786,0.092,0.072,0.024,0.023,12.0,5.725,0.11,0.706,0.184,0.3684210526315789
2020,Indiana,59.8,1,421.4,0.7765,0.089,0.0745,0.0235,0.034,11.95,5.85,0.11,0.706,0.184,0.3684210526315789
2021,Indiana,60.2,0,419.2120000000005,0.767,0.086,0.077,0.023,0.045,11.9,5.975,0.11,0.706,0.184,0.3684210526315789
2022,Indiana,59.7,0,417.02400000000034,0.761,0.091,0.078,0.025,0.044,12.3,6.1,0.11,0.706,0.184,0.3684210526315789
2014,Iowa,67.8,0,502.9320000000007,0.873,0.033,0.055,0.021,0.014,12.0,5.066666666666666,0.121,0.766,0.1129999999999999,0.4736842105263157
2015,Iowa,67.1,0,493.8849999999984,0.869,0.031,0.056,0.022,0.018,12.7,5.183333333333334,0.121,0.766,0.1129999999999999,0.4736842105263157
2016,Iowa,66.9,0,484.83799999999974,0.866,0.033,0.057,0.024,0.017,11.2,5.3,0.129,0.763,0.1079999999999999,0.4736842105263157
2017,Iowa,64.9,0,475.79099999999744,0.859,0.031,0.059,0.027,0.02,9.9,5.416666666666666,0.129,0.763,0.1079999999999999,0.4736842105263157
2018,Iowa,63.5,0,466.7439999999988,0.855,0.034,0.061,0.026,0.02,11.0,5.533333333333333,0.129,0.763,0.1079999999999999,0.4736842105263157
2019,Iowa,63.4,0,457.6970000000001,0.853,0.039,0.063,0.023,0.019,11.2,5.65,0.129,0.763,0.1079999999999999,0.4736842105263157
2020,Iowa,60.4,1,448.65,0.842,0.0365,0.065,0.023,0.03,11.05,5.766666666666667,0.129,0.763,0.1079999999999999,0.4736842105263157
2021,Iowa,60.8,0,439.6029999999992,0.831,0.034,0.067,0.023,0.041,10.9,5.883333333333333,0.129,0.763,0.1079999999999999,0.4736842105263157
2022,Iowa,59.9,0,430.5560000000005,0.829,0.036,0.068,0.024,0.039,10.8,6.0,0.129,0.763,0.1079999999999999,0.4736842105263157
2014,Kansas,70.0,0,487.8739999999998,0.77,0.054,0.114,0.025,0.03,13.6,6.7,0.107,0.7310000000000001,0.1619999999999999,0.3684210526315789
2015,Kansas,69.9,0,483.2749999999997,0.765,0.057,0.116,0.029,0.027,12.8,6.75,0.107,0.7310000000000001,0.1619999999999999,0.3684210526315789
2016,Kansas,68.1,0,478.6759999999995,0.765,0.056,0.117,0.027,0.029,12.0,6.8,0.121,0.747,0.132,0.3684210526315789
2017,Kansas,65.4,0,474.0769999999993,0.761,0.053,0.119,0.03,0.03,11.8,6.85,0.121,0.747,0.132,0.3684210526315789
2018,Kansas,64.7,0,469.4779999999992,0.76,0.054,0.12,0.028,0.032,12.1,6.8999999999999995,0.121,0.747,0.132,0.3684210526315789
2019,Kansas,63.0,0,464.878999999999,0.757,0.055,0.122,0.028,0.032,11.3,6.949999999999999,0.121,0.747,0.132,0.3684210526315789
2020,Kansas,61.1,1,460.28,0.7455,0.051,0.1255,0.0289999999999999,0.044,11.55,7.0,0.121,0.747,0.132,0.3684210526315789
2021,Kansas,61.0,0,455.6810000000005,0.734,0.047,0.129,0.03,0.056,11.8,7.05,0.121,0.747,0.132,0.3684210526315789
2022,Kansas,60.3,0,451.08200000000033,0.733,0.046,0.131,0.03,0.055,12.0,7.1,0.121,0.747,0.132,0.3684210526315789
2014,Kentucky,65.8,0,507.0439999999998,0.858,0.075,0.033,0.012,0.021,18.4,3.466666666666667,0.083,0.692,0.2249999999999999,0.2105263157894736
2015,Kentucky,65.7,0,504.8850000000002,0.855,0.078,0.033,0.014,0.019,18.0,3.533333333333333,0.083,0.692,0.2249999999999999,0.2105263157894736
2016,Kentucky,65.4,0,502.72599999999966,0.852,0.08,0.034,0.014,0.018,18.4,3.6,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736
2017,Kentucky,64.5,0,500.567,0.849,0.079,0.035,0.015,0.022,17.2,3.666666666666667,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736
2018,Kentucky,63.5,0,498.40799999999945,0.848,0.076,0.036,0.015,0.023,16.5,3.7333333333333334,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736
